"collection1"
"nombre","codigo"
"Aysén","6000000"
"Algarrobo","2710000"
"Alhué","9650000"
"Alto Biobío","4590000"
"Alto Hospicio","1130000"
"Angol","4650000"
"Ancud","5710000"
"Andacollo","1750000"
"Antártica","6360000"
"Antofagasta","1240000"
"Antuco","4490000"
"Arauco","4360000"
"Arica","1000000"
"Buin","9500000"
"Bulnes","3930000"
"Cabildo","2050000"
"Cabo de Hornos","6350000"
"Calama","1390000"
"Calera","2290000"
"Calera de Tango","9560000"
"Calle Larga","2130000"
"Cartagena","2680000"
"Casablanca","2480000"
"Castro","5700000"
"Catemu","2230000"
"Cerrillos","9200000"
"Cerro Navia","9080000"
"Chiguayante","4100000"
"Chillán","3780000"
"Chillán Viejo","3820000"
"Colina","9340000"
"Concepción","4030000"
"Conchalí","8540000"
"Concón","2510000"
"Copiapó","1530000"
"Coquimbo","1780000"
"Coronel","4190000"
"Curacaví","9630000"
"Curicó","3340000"
"El Bosque","8010000"
"El Monte","9810000"
"El Quisco","2700000"
"El Tabo","2690000"
"Estación Central","9160000"
"Hijuelas","2310000"
"Hualpén","4600000"
"Huara","1140000"
"Huasco","1640000"
"Huechuraba","8580000"
"Independencia","8380000"
"Iquique","1100000"
"Isla de Maipo","9790000"
"La Cisterna","7970000"
"La Cruz","2280000"
"La Florida","8240000"
"La Granja","8780000"
"La Pintana","8820000"
"La Reina","7850000"
"La Serena","1700000"
"Lampa","9380000"
"Las Condes","7550000"
"Limache","2240000"
"Linares","3580000"
"Llaillay","2220000"
"Lo Barnechea","7690000"
"Lo Espejo","9120000"
"Lo Prado","8980000"
"Los Andes","2100000"
"Los Ángeles","4440000"
"Lota","4210000"
"Macul","7810000"
"Maipú","9250000"
"María Elena","1360000"
"María Pinto","9620000"
"Melipilla","9580000"
"Mejillones","1310000"
"Nogales","2300000"
"Ñuñoa","7750000"
"Osorno","5290000"
"Ollagüe","1420000"
"Padre Hurtado","9710000"
"Padre Las Casas","4850000"
"Paine","9540000"
"Panquehue","2210000"
"Pedro Aguirre Cerda","8460000"
"Peñaflor","9750000"
"Peñalolén","7910000"
"Penco","4150000"
"Pica","1170000"
"Pirque","9480000"
"Pozo Almonte","1180000"
"Providencia","7500000"
"Puchuncaví","2500000"
"Pudahuel","9020000"
"Puente Alto","8150000"
"Puerto Montt","5480000"
"Punta Arenas","6200000"
"Putaendo","2190000"
"Quilicura","8700000"
"Quillota","2260000"
"Quilpué","2430000"
"Quinta Normal","8500000"
"Quintero","2490000"
"Rancagua","2820000"
"Recoleta","8420000"
"Renca","8640000"
"Rinconada","2140000"
"San Antonio","2660000"
"San Bernardo","8050000"
"San Esteban","2120000"
"San Felipe","2170000"
"San Fernando","3070000"
"San Joaquín","8940000"
"San José de Maipo","9460000"
"San Miguel","8900000"
"San Pedro de Atacama","1410000"
"San Pedro de la Paz","4130000"
"San Ramón","8860000"
"Santa María","2200000"
"Santiago","8320000"
"Santo Domingo","2720000"
"Sierra Gorda","1320000"
"Talagante","9670000"
"Talca","3460000"
"Talcahuano","4260000"
"Temuco","4780000"
"Taltal","1300000"
"Tiltil","9420000"
"Tocopilla","1340000"
"Valdivia","5090000"
"Valparaíso","2340000"
"Villa Alemana","6500000"
"Viña del Mar","2520000"
"Vitacura","7630000"
