nombre,region,distrito,partido,correo
"Aguiló Melo, Sergio",VII de del Maule,37,Independientes,saguilo@congreso.cl
"Alvarez Vera, Jenny",X de de los Lagos,58,Partido Socialista,jenny.alvarez@congreso.cl
"Alvarez-Salamanca Ramírez, Pedro Pablo",VII de del Maule,38,Unión Demócrata Independiente,palvarez-salamanca@congreso.cl
"Andrade Lara, Osvaldo",RM de Metropolitana,29,Partido Socialista,oandrade@congreso.cl
"Arriagada Macaya, Claudio",RM de Metropolitana,25,Partido Demócrata Cristiano,claudio.arriagada@congreso.cl
"Auth Stewart, Pepe",RM de Metropolitana,20,Partido Por la Democracia,pepeauth@congreso.cl
"Barros Montero, Ramón",VI de del Libertador Bernardo O' Higgins,35,Unión Demócrata Independiente,jbarros@congreso.cl
"Becker Alvear, Germán",IX de de la Araucanía,50,Renovación Nacional,gbecker@congreso.cl
"Bellolio Avaria, Jaime",RM de Metropolitana,30,Unión Demócrata Independiente,jaime.bellolio@congreso.cl
"Berger Fett, Bernardo",XIV de de los Ríos,53,Renovación Nacional,bernardo.berger@congreso.cl
"Boric Font, Gabriel",XII de de Magallanes y de la Antártica Chilena,60,Independientes,gabriel.boric@congreso.cl
"Browne Urrejola, Pedro",RM de Metropolitana,28,Independientes,pbrowne@congreso.cl
"Campos Jara, Cristián",VIII de del Bío Bío,43,Partido Por la Democracia,ccampos@congreso.cl
"Cariola Oliva, Karol",RM de Metropolitana,19,Partido Comunista,karol.cariola@congreso.cl
"Carmona Soto, Lautaro",III de de Atacama,5,Partido Comunista,lcarmona@congreso.cl
"Carvajal Ambiado, Loreto",VIII de del Bío Bío,42,Partido Por la Democracia,loreto.carvajal@congreso.cl
"Castro González, Juan Luis",VI de del Libertador Bernardo O' Higgins,32,Partido Socialista,jlcastro@congreso.cl
"Ceroni Fuentes, Guillermo",VII de del Maule,40,Partido Por la Democracia,gceroni@congreso.cl
"Chahin Valenzuela, Fuad",IX de de la Araucanía,49,Partido Demócrata Cristiano,fchahin@congreso.cl
"Chávez Velásquez, Marcelo",VIII de del Bío Bío,45,Partido Demócrata Cristiano,marcelo.chavez@congreso.cl
"Cicardini Milla, Daniella",III de de Atacama,5,Partido Socialista,daniella.cicardini@congreso.cl
"Coloma Alamos, Juan Antonio",RM de Metropolitana,31,Unión Demócrata Independiente,juanantoniocoloma@congreso.cl
"Cornejo González, Aldo",V de de Valparaíso,13,Partido Demócrata Cristiano,acornejo@congreso.cl
"De Mussy Hiriart, Felipe",X de de los Lagos,56,Unión Demócrata Independiente,fdemussy@congreso.cl
"Edwards Silva, José Manuel",IX de de la Araucanía,51,Renovación Nacional,jmedwards@congreso.cl
"Espejo Yaksic, Sergio",VI de del Libertador Bernardo O' Higgins,35,Partido Demócrata Cristiano,sergio.espejo@congreso.cl
"Espinosa Monardes, Marcos",II de de Antofagasta,3,Partido Radical Social Demócrata,mespinosa@congreso.cl
"Espinoza Sandoval, Fidel",X de de los Lagos,56,Partido Socialista,fespinoza@congreso.cl
"Farcas Guendelman, Daniel",RM de Metropolitana,17,Partido Por la Democracia,daniel.farcas@congreso.cl
"Farías Ponce, Ramón",RM de Metropolitana,25,Partido Por la Democracia,rfarias@congreso.cl
"Fernández Allende, Maya",RM de Metropolitana,21,Partido Socialista,maya.fernandez@congreso.cl
"Flores García, Iván",XIV de de los Ríos,53,Partido Demócrata Cristiano,ivan.flores@congreso.cl
"Fuentes Castillo, Iván",XI de de Aysén del General Carlos Ibáñez del Campo,59,Independientes,ivan.fuentes@congreso.cl
"Fuenzalida Figueroa, Gonzalo",XIV de de los Ríos,54,Renovación Nacional,gonzalo.fuenzalida@congreso.cl
"Gahona Salazar, Sergio",IV de de Coquimbo,7,Unión Demócrata Independiente,sergio.gahona@congreso.cl
"García García, René Manuel",IX de de la Araucanía,52,Renovación Nacional,rmgarcia@congreso.cl
"Girardi Lavín, Cristina",RM de Metropolitana,18,Partido Por la Democracia,cgirardi@congreso.cl
"Godoy Ibáñez, Joaquín",V de de Valparaíso,13,Independientes,jgodoy@congreso.cl
"González Torres, Rodrigo",V de de Valparaíso,14,Partido Por la Democracia,rodrigogonzalez@congreso.cl
"Gutiérrez Gálvez, Hugo",I de de Tarapacá,2,Partido Comunista,hgutierrez@congreso.cl
"Gutiérrez Pino, Romilio",VII de del Maule,39,Unión Demócrata Independiente,rgutierrez@congreso.cl
"Hasbún Selume, Gustavo",RM de Metropolitana,26,Unión Demócrata Independiente,ghasbun@congreso.cl
"Hernández Hernández, Javier",X de de los Lagos,55,Unión Demócrata Independiente,jhernandez@congreso.cl
"Hernando Pérez, Marcela",II de de Antofagasta,4,Partido Radical Social Demócrata,marcela.hernando@congreso.cl
"Hoffmann Opazo, María José",V de de Valparaíso,15,Unión Demócrata Independiente,mjhoffmann@congreso.cl
"Insunza Gregorio de las Heras, Jorge",IV de de Coquimbo,9,Partido Por la Democracia,jorge.insunza@congreso.cl
"Jackson Drago, Giorgio",RM de Metropolitana,22,Independientes,giorgio.jackson@congreso.cl
"Jaramillo Becker, Enrique",XIV de de los Ríos,54,Partido Por la Democracia,ejaramil@congreso.cl
"Jarpa Wevar, Carlos Abel",VIII de del Bío Bío,41,Partido Radical Social Demócrata,cjarpa@congreso.cl
"Jiménez Fuentes, Tucapel",RM de Metropolitana,27,Partido Por la Democracia,tjimenez@congreso.cl
"Kast Rist, José Antonio",RM de Metropolitana,24,Unión Demócrata Independiente,jkast@congreso.cl
"Kast Sommerhoff, Felipe",RM de Metropolitana,22,Independientes,felipe.kast@congreso.cl
"Kort Garriga, Issa",VI de del Libertador Bernardo O' Higgins,32,Unión Demócrata Independiente,ikort@congreso.cl
"Lavín León, Joaquín",RM de Metropolitana,20,Unión Demócrata Independiente,joaquin.lavin@congreso.cl
"Lemus Aracena, Luis",IV de de Coquimbo,9,Partido Socialista,llemus@congreso.cl
"León Ramírez, Roberto",VII de del Maule,36,Partido Demócrata Cristiano,rleon@congreso.cl
"Letelier Norambuena, Felipe",VI de del Libertador Bernardo O' Higgins,33,Partido Por la Democracia,felipe.letelier@congreso.cl
"Lorenzini Basso, Pablo",VII de del Maule,38,Partido Demócrata Cristiano,plorenzi@congreso.cl
"Macaya Danús, Javier",VI de del Libertador Bernardo O' Higgins,34,Unión Demócrata Independiente,jmacaya@congreso.cl
"Martínez Labbé, Rosauro",VIII de del Bío Bío,41,Renovación Nacional,romar@congreso.cl
"Melero Abaroa, Patricio",RM de Metropolitana,16,Unión Demócrata Independiente,pmelero@congreso.cl
"Melo Contreras, Daniel",RM de Metropolitana,27,Partido Socialista,daniel.melo@congreso.cl
"Meza Moncada, Fernando",IX de de la Araucanía,52,Partido Radical Social Demócrata,fmeza@congreso.cl
"Mirosevic Verdugo, Vlado",XV de Arica y Parinacota,1,Partido Liberal de Chile,vlado.mirosevic@congreso.cl
"Molina Oliva, Andrea",V de de Valparaíso,10,Unión Demócrata Independiente,amolina@congreso.cl
"Monckeberg Bruner, Cristián",RM de Metropolitana,23,Renovación Nacional,cmonckeberg@congreso.cl
"Monckeberg Díaz, Nicolás",RM de Metropolitana,18,Renovación Nacional,nmonckeberg@congreso.cl
"Monsalve Benavides, Manuel",VIII de del Bío Bío,46,Partido Socialista,mmonsalve@congreso.cl
"Morales Muñoz, Celso",VII de del Maule,36,Unión Demócrata Independiente,cmorales@congreso.cl
"Morano Cornejo, Juan Enrique",XII de de Magallanes y de la Antártica Chilena,60,Partido Demócrata Cristiano,juan.morano@congreso.cl
